xrange_bot,xrange_top,yrange_bot,yrange_top,stamp_xcor,stamp_ycor,x_stretch,y_stretch
-201,-61,-189,-169,-131,-179,7,1
-182,-42,-163,-143,-112,-153,7,1
-156,-16,-142,-122,-86,-132,7,1
-135,5,-121,-101,-65,-111,7,1
-114,26,-100,-80,-44,-90,7,1
153,293,-92,-72,223,-82,7,1
247,279,-45,-25,263,-35,1.600000000000004,1
200,232,24,44,216,34,1.600000000000004,1
-11,153,67,87,268,85,1.600000000000004,1
-299,-135,67,87,71,77,8.199999999999992,1.0
-298,-262,130,150,-217,77,8.199999999999992,1.0
-229,-193,173,193,-280,140,1.8000000000000052,1.0
-192,-156,173,193,-211,183,1.8000000000000052,1.0
-155,269,173,193,-174,183,1.8000000000000052,1.0
217,301,123,143,57,183,21.20000000000004,1.0
